staff_id,name,job_level,street,state,city,country,contact_number,creation_date
STAFF0028809,Grady Howell,entry,743 Turnpike side,Maine,Arlington,Eritrea,685-822-9808,2021-01-24 04:25:48
STAFF0018268,Hobart Leannon,entry,7253 New Lodge shire,Maryland,Birmingham,"Taiwan, Province of China",(944)364-9294,2022-12-01 01:36:14
STAFF0050194,Martine Runolfsdottir,senior,28436 Lake Route berg,Georgia,Oklahoma,Slovenia,(097)680-6929,2023-07-26 20:48:10
STAFF0060366,Donato Kerluke,entry,148 East Street furt,Arizona,Stockton,United Kingdom of Great Britain and Northern Ireland,547-561-1315,2020-03-20 20:47:00
STAFF0048779,Alaina Pfeffer,intermediate,284 Extension chester,Alaska,Stockton,Tuvalu,1-414-708-6442,2021-03-27 06:48:31
STAFF0036517,Haskell Ryan,intermediate,4393 Lock side,North Dakota,Portland,New Zealand,638-507-8590,2022-04-15 01:20:34
STAFF0041711,Sabina Pfannerstill,entry,48908 Viaduct bury,Wyoming,Omaha,Central African Republic,1-950-196-1326,2020-05-04 12:41:41
STAFF0001523,Rebeca Kris,senior,4296 Row furt,Indiana,San Diego,Tunisia,904.501.7473,2023-04-24 21:35:06
STAFF0001080,Shanie Okuneva,entry,39949 East Flat burgh,Wyoming,Long Beach,Sweden,293-118-4612,2020-01-23 21:47:35
STAFF0061898,Ernie Feeney,intermediate,66796 Rapid fort,Delaware,Lubbock,Ireland,1-113-500-7276,2023-07-28 19:57:16
STAFF0022900,Laney Gislason,entry,14929 West Plains bury,Georgia,Lexington-Fayette,Ãland Islands,1-799-688-5689,2023-07-01 18:10:50
STAFF0006489,Verna Hegmann,senior,53228 Crossroad mouth,Pennsylvania,Scottsdale,Cayman Islands,1-445-103-7235,2022-09-11 00:35:12
STAFF0012885,Kacie Howell,senior,9972 Port ton,Pennsylvania,Milwaukee,Singapore,(157)880-7191,2020-05-25 18:02:55
STAFF0014191,Kane Klein,senior,6266 East Unions ton,California,Fresno,Iraq,518.397.1195,2020-04-26 16:08:41
STAFF0047539,Glenda Dare,entry,5081 East Locks bury,South Carolina,Scottsdale,Lao People's Democratic Republic,849.398.3203,2021-06-24 13:31:21
STAFF0037308,Geovanny Borer,entry,185 Lake Light burgh,Oregon,Plano,United Arab Emirates,485.441.0864,2022-12-24 03:08:34
STAFF0057493,Elza Will,entry,8880 Ferry bury,Wyoming,Winston-Salem,Bouvet Island,1-135-141-0754,2021-07-09 14:09:22
STAFF0013658,Lorna Kshlerin,intermediate,18446 New Mountains mouth,West Virginia,Reno,Cook Islands,875.798.3390,2022-01-12 12:36:18
STAFF0023277,Jazmin Kiehn,entry,63307 Lake Mills haven,Utah,Glendale,Georgia,132-458-0296,2022-09-04 11:41:24
STAFF0050199,Greta Ward,senior,51148 Gardens berg,Arizona,Santa Ana,Philippines,(298)422-3356,2023-11-22 02:54:05
STAFF0035797,Kirstin Cartwright,intermediate,16967 East Key ville,South Dakota,Winston-Salem,Mauritania,(825)505-3817,2020-04-02 04:00:48
STAFF0012737,Jaida Feeney,intermediate,56577 Lake Mission land,Massachusetts,Jacksonville,Jordan,1-540-874-0303,2020-08-26 10:41:19
STAFF0017774,Kaci Wolf,entry,976 South Cape bury,South Dakota,Seattle,France,1-517-837-9746,2022-02-02 16:39:40
STAFF0050381,Dean Mills,entry,12502 Mountains chester,Louisiana,Nashville-Davidson,Canada,466.395.6635,2020-10-28 00:06:30
STAFF0038123,Carlie Doyle,entry,263 East Trail side,South Carolina,Raleigh,Guyana,1-696-832-7457,2021-01-17 16:55:14
STAFF0061898,Delpha Goldner,senior,1509 Brooks land,Florida,Albuquerque,Sudan,1-169-793-0608,2021-01-04 17:00:28
STAFF0047963,Edna Schamberger,intermediate,37268 Port Field shire,Arizona,Charlotte,Marshall Islands,378.897.4582,2020-10-22 13:13:12
STAFF0010864,Leif Ferry,intermediate,589 South Views mouth,Virginia,Las Vegas,Kazakhstan,711.005.8501,2023-11-30 01:56:25
STAFF0006261,Edna Rolfson,senior,7454 East Mission chester,Mississippi,Columbus,Algeria,205-852-9629,2022-07-22 10:13:05
STAFF0028108,Cruz Jacobson,entry,65227 Tunnel mouth,North Carolina,Wichita,South Sudan,1-852-909-2225,2021-08-10 15:08:07
STAFF0054567,Floyd Hudson,entry,239 Points chester,Oklahoma,San Diego,Indonesia,378-297-4822,2023-11-22 10:16:17
STAFF0016453,Bulah Heller,senior,75909 Lake Shores shire,Mississippi,Madison,Malaysia,282-333-6287,2022-06-01 11:22:17
STAFF0046170,Tom Koch,entry,985 Cape chester,Oklahoma,Minneapolis,Mayotte,724.716.8434,2020-06-20 08:31:24
STAFF0054136,Elda Rogahn,entry,60676 Pine mouth,Wyoming,Louisville/Jefferson,Sri Lanka,1-140-557-9764,2023-08-24 07:18:50
STAFF0042963,Cleta Wilkinson,senior,7061 Mews stad,Tennessee,Phoenix,Mozambique,664.160.1923,2023-03-21 09:49:49
STAFF0020301,Natalia Ferry,entry,9151 Dam ton,North Carolina,New Orleans,Costa Rica,938-639-1953,2020-01-24 23:09:36
STAFF0049114,Alize Konopelski,entry,4078 Lake Drive mouth,Wisconsin,Detroit,Costa Rica,610.531.3725,2023-02-14 04:45:36
STAFF0041921,Mona Rodriguez,intermediate,743 Roads ville,Florida,St. Paul,Gibraltar,(931)710-5416,2020-05-14 01:57:13
STAFF0053753,Ben Durgan,senior,94419 Lake Extension berg,North Dakota,Boise,Congo,337-570-4047,2021-11-13 18:23:20
STAFF0049114,Colt Bashirian,senior,118 Lake Manor port,Alabama,Orlando,Sudan,1-837-910-7746,2022-12-13 16:22:39
STAFF0002583,Marianne Durgan,senior,81127 Manors town,Maryland,Garland,Mauritania,147.375.2020,2022-06-18 14:42:40
STAFF0053402,Lavinia Bauch,intermediate,345 North Plains side,Missouri,San Francisco,Libya,1-388-219-6595,2022-11-29 16:47:51
STAFF0051956,Billy Cruickshank,entry,89023 Drive mouth,Nevada,Orlando,Malaysia,567.833.4679,2021-02-04 02:17:25
STAFF0015020,Camylle Heaney,entry,210 Port Rest burgh,Iowa,Albuquerque,Andorra,203-080-0755,2020-08-18 13:39:24
STAFF0004450,Lemuel Hane,entry,78428 Port Harbor ton,New York,Long Beach,Christmas Island,809-559-2688,2021-07-29 13:07:52
STAFF0029803,Lonie Leuschke,entry,77604 East Terrace port,Alaska,St. Petersburg,Serbia,624-434-4129,2021-10-14 06:15:23
STAFF0020327,Jesse Satterfield,intermediate,20257 Mill town,Oklahoma,Winston-Salem,Niue,677.862.7135,2020-10-04 12:23:01
STAFF0063549,Merritt Weber,intermediate,67409 Islands mouth,Vermont,Corpus Christi,Denmark,743-871-3860,2020-12-08 00:40:19
STAFF0013351,Lavinia Botsford,entry,4199 Causeway haven,Indiana,El Paso,United States of America,166-253-0352,2023-04-29 15:11:02
STAFF0062305,Brannon Kutch,entry,27293 South Drives port,Texas,Orlando,United States of America,(628)922-5183,2023-01-15 10:51:19
STAFF0049420,Ahmad Hane,intermediate,72585 Lake Points town,Ohio,New Orleans,Samoa,632.749.6407,2020-02-23 10:55:14
STAFF0021439,Marianne Willms,intermediate,3534 Lake Plains berg,Utah,Winston-Salem,Faroe Islands,1-852-475-5228,2020-02-14 15:22:24
STAFF0040806,Alexane Dare,senior,6511 Port Knolls borough,Ohio,Virginia Beach,Israel,1-331-656-9195,2023-06-21 05:40:19
STAFF0053966,Karelle Lemke,senior,8635 Lake Coves town,Arkansas,Miami,North Macedonia,(939)150-7101,2023-10-20 08:16:09
STAFF0054567,Gustave Homenick,entry,84103 West Drive port,New York,Houston,Eswatini,632-294-3183,2022-09-26 09:57:36
STAFF0051220,Jabari Haley,entry,47714 North Courts chester,New Hampshire,Madison,Singapore,333.453.8339,2023-01-07 21:57:12
STAFF0062303,Omer Pfeffer,intermediate,318 South Ville bury,New Jersey,Detroit,United Arab Emirates,1-187-268-8527,2020-02-27 23:09:54
STAFF0020889,Adolfo Runte,entry,678 Shoals shire,North Carolina,Las Vegas,Costa Rica,(974)129-3246,2021-07-20 09:55:15
STAFF0059731,Andreanne Zieme,entry,8766 East Ville mouth,Missouri,Cleveland,Uruguay,559.453.1363,2020-04-20 02:26:40
STAFF0033982,Anissa Lowe,entry,919 Dale furt,Mississippi,Boise,Japan,355-348-1199,2020-10-08 00:02:42
STAFF0056752,Linnea Dietrich,entry,9330 Tunnel mouth,Oregon,Austin,Niue,(388)246-2334,2023-07-29 12:07:02
STAFF0052696,Elwyn Toy,intermediate,304 South Wells ville,Oklahoma,San Diego,Italy,(531)739-7479,2023-03-10 02:33:41
