user_id,name,credit_card_number,issuing_bank
USER40678,Zion Feest,4294956114,bpi
USER08728,Kattie Bergstrom,2742902159,bdo
USER29759,Aiden Corwin,1917471950,bdo
USER16806,Vince Gislason,3290792253,chinabank
USER27644,Adele Okuneva,2313395832,chinabank
USER00616,Joshuah Jacobi,1555003797,chinabank
USER11325,Cecelia Homenick,1736895167,metrobank
USER17253,Santa Lehner,3985982892,chinabank
USER62341,Allen Gutmann,2361856778,bpi
USER32334,Dorian Will,2864502905,metrobank
USER02300,Aubrey Mitchell,779912290,metrobank
USER24692,Kaci Schmidt,1774679926,metrobank
USER15171,Junius Watsica,489754926,mayabank
USER47527,Jamaal Mann,2504450209,robinsonsbank
USER18395,Arden Adams,1139712846,robinsonsbank
USER29028,Cali Walker,786901098,securitybank
USER56270,Marjolaine Mitchell,2781571013,metrobank
USER14488,Elmer Torp,4104371555,bpi
USER18114,Scot Raynor,1278576389,securitybank
USER08951,Diana Torp,2262009237,chinabank
USER59325,Sally Cassin,1170244420,robinsonsbank
USER46405,Lafayette Hessel,3473608915,securitybank
USER09125,Eliezer Bernhard,4055599059,chinabank
USER23143,Dora Jacobs,660162130,eastwest
USER34967,Ralph Morissette,3260249455,metrobank
USER14749,Omer Mueller,1526800341,bdo
USER21917,Abbey Hammes,3742510918,bpi
USER03755,Mellie Kulas,3703186850,mayabank
USER49775,Pasquale Prohaska,2775143950,mayabank
USER07377,Van Muller,1118636323,bdo
USER40908,Nova Tremblay,1813754404,robinsonsbank
USER52547,Rosalyn McKenzie,2938528286,metrobank
USER49512,Charity Strosin,2014407737,securitybank
USER62318,Chaz Wolff,2475858052,metrobank
USER14603,Stephanie Barrows,1960806742,mayabank
USER02504,Lesly Haag,1477293363,mayabank
USER60695,Rowan Wehner,1127908252,securitybank
USER52945,Einar Shanahan,1731715278,robinsonsbank
USER24767,Pink Schmitt,276041500,securitybank
USER38371,Adolphus Mann,4211975301,mayabank
USER38319,Charley Leannon,2204772352,mayabank
USER23142,Araceli Heathcote,714285344,bdo
USER25920,Shaylee Bayer,3781452776,chinabank
USER16325,Lemuel Fisher,3519544319,metrobank
USER22790,Nannie Streich,133843997,securitybank
USER11784,Daryl Kuhlman,3577188150,bdo
USER06826,Johann Romaguera,2492170578,mayabank
USER46052,Kaleigh McKenzie,1431847081,bdo
USER03819,Robb Gusikowski,939008724,mayabank
USER22712,Darren Hettinger,2728443385,eastwest
USER23415,Elenor Skiles,836243130,bpi
USER40133,Jeremie Daugherty,2192810096,securitybank
USER64836,Aryanna Rice,1712653419,mayabank
USER31999,Audreanne Gerlach,3141527219,robinsonsbank
USER01095,Rosanna Flatley,2126867651,bpi
USER60107,Michele Harvey,2584542907,metrobank
USER33639,Alena Pagac,2334364484,mayabank
USER26689,Enrique Christiansen,566876706,metrobank
USER48388,Raina McLaughlin,1833621157,securitybank
USER15053,Ulices Turcotte,1705164548,chinabank
USER48544,Arnold Nader,1363687171,robinsonsbank
USER08607,Bennie Weber,298762035,bdo
USER46718,Magdalen Larkin,2554073366,eastwest
USER47756,Kitty Cole,2942923288,mayabank
USER43153,Wilhelm Hegmann,1267855459,mayabank
USER34332,Keagan Feeney,1287042641,securitybank
USER41643,Melody Ankunding,829711211,bdo
USER47981,Nadia Wisoky,4234128698,securitybank
USER64664,Raven Oberbrunner,3411304930,securitybank
USER49119,Nicholaus Jacobi,774571821,eastwest
USER24457,Fredrick Zieme,2976401418,eastwest
USER12126,Guiseppe Kertzmann,2169883742,securitybank
USER29934,Oceane Runte,2131484023,chinabank
USER28604,Jaycee Purdy,2731973968,bpi
USER49928,Bailey Barton,1769036883,metrobank
USER39131,Kaela Zboncak,4092513192,chinabank
USER37479,Mercedes Stroman,1575802021,chinabank
USER10122,Dasia Swift,868217260,eastwest
USER14094,Kaitlyn Kozey,3063705540,robinsonsbank
USER49660,Olga Ferry,2132766698,mayabank
USER01839,Maegan Reinger,517866069,eastwest
USER30477,Jazlyn Ledner,2222248741,eastwest
USER62090,Harold Wilderman,327523327,securitybank
USER37037,Trace Pacocha,501538797,metrobank
USER62026,Skylar Smith,3577922693,metrobank
USER54577,Verner Wilkinson,702927460,metrobank
USER40952,Fleta Romaguera,2394307711,mayabank
USER27532,Vella Damore,3774792610,robinsonsbank
USER16834,Marianna Greenholt,2242083012,bpi
USER17885,Jedediah Johnson,2221187012,eastwest
USER39239,Tamara Satterfield,1584332006,bpi
USER54037,Lulu Eichmann,3965563838,metrobank
USER33302,Casandra Mraz,3081387021,securitybank
USER64486,Leola Graham,699237478,bpi
USER58230,Maximillian Jacobs,3356040370,eastwest
USER57560,Augusta Wisoky,3487567625,robinsonsbank
USER40744,Alyce Dicki,1647994202,bpi
USER07867,Dewitt Jacobi,4152178027,metrobank
USER00101,Lilliana Herzog,4134364771,mayabank
USER19243,Pablo Halvorson,3822464527,bdo
USER45205,Berry Sawayn,1336789220,eastwest
USER38215,Myrtle Lynch,1541230826,metrobank
USER55826,Josefa Graham,4160732850,mayabank
USER24670,Garret Satterfield,1914374039,robinsonsbank
USER05712,Tommie Jacobi,2492972788,securitybank
USER09015,Cydney Harris,1894478305,bdo
USER49626,Lexus Kemmer,1432644112,securitybank
USER20411,Mohamed McKenzie,170252896,bpi
USER24800,Ismael Miller,3649996160,chinabank
USER11310,Adam Metz,2184347546,chinabank
USER46581,Shawn Franecki,1943357300,mayabank
USER45495,Crawford Fay,4245141648,chinabank
USER33428,Alfred Ruecker,3322588159,bdo
USER45540,Trisha Monahan,830690020,bdo
USER30351,Camila Smitham,1602544914,securitybank
USER58236,Nathen Mosciski,2712194411,bpi
USER17516,Hollis Luettgen,251083264,bpi
USER47151,Clyde Kautzer,3871281448,bdo
USER34625,Aric Schmeler,2090590477,chinabank
USER35636,Viola Brown,1580996552,securitybank
USER04564,Johnnie Douglas,2932712174,chinabank
USER57761,Aletha Miller,3574195482,bpi
USER22872,Layne Quigley,623416809,metrobank
USER44532,Jazlyn Schoen,896656749,bpi
USER60066,Horacio Boyle,2070556735,eastwest
USER01179,Pedro Adams,1675864715,metrobank
USER33487,Elisabeth Prohaska,1934286408,robinsonsbank
USER51252,Irving Ledner,2632196256,metrobank
USER13673,Alexander Bergstrom,437816101,bdo
USER64770,Hoyt Cremin,3482145586,eastwest
USER62405,Nyah Fritsch,3207860025,robinsonsbank
USER29506,Pietro Thompson,2714767756,chinabank
USER24261,Della Hermann,4022547500,mayabank
USER50219,Carmel Christiansen,869029472,robinsonsbank
USER14804,Torrance Kshlerin,2780264397,bdo
USER36964,Rod Von,3295941061,securitybank
USER11090,Mallory Schulist,3366142289,robinsonsbank
USER33960,Lonny Crist,3288931548,securitybank
USER15405,Shemar Franecki,2348537299,mayabank
USER06134,Lucinda Hoeger,538973903,bpi
USER21995,Ed Bernier,3070456264,bpi
USER10838,Vidal Rempel,2244474146,metrobank
USER64062,Olin Berge,687673489,metrobank
USER41341,Agnes Deckow,673596231,securitybank
USER17088,Anabel Lynch,1862257255,eastwest
USER42930,Arnaldo Harvey,4280805462,robinsonsbank
USER35062,Orpha Lynch,2936299356,robinsonsbank
USER36952,Arno McCullough,4287172833,mayabank
USER21923,Destiny Luettgen,2257753733,bdo
USER13503,Avis Kshlerin,1343099640,bpi
USER56658,Kathryne Bosco,359494374,mayabank
USER63762,Chaya Heaney,308266064,bdo
USER26867,Josefina Stiedemann,603182617,eastwest
USER15802,Eriberto Cartwright,91044185,eastwest
USER25983,Hayden Goodwin,517302903,bpi
USER39708,Jaden Bashirian,774900486,securitybank
USER64732,Leatha Schneider,339802583,chinabank
USER25861,Florence Windler,2071077811,robinsonsbank
USER20048,Carolyne Schneider,1636229406,bdo
USER26954,Jolie Weber,2656019577,mayabank
USER07130,Timmy Barrows,2346416791,eastwest
USER34213,Delphia Gusikowski,3172275428,metrobank
USER03501,Verna Kautzer,525939536,chinabank
USER65243,Arnulfo Tremblay,3550766929,chinabank
USER15004,Arvel Langworth,623768603,eastwest
USER07661,Sylvester Little,2570778526,metrobank
USER59213,Johnson Mann,161638237,mayabank
USER13246,Gaylord Corkery,2278231346,robinsonsbank
USER28343,Yesenia McLaughlin,4029116794,bdo
USER46421,Lonnie Buckridge,4157548032,chinabank
USER51743,Madonna Kiehn,4077200677,robinsonsbank
USER19083,Claudia Renner,3325550099,eastwest
USER59205,Boris Hudson,212956424,robinsonsbank
USER36882,Enos Carter,327404340,robinsonsbank
USER22595,Keagan Bayer,2504479408,securitybank
USER46250,Willow Lakin,2059862930,robinsonsbank
USER58885,Verdie Schiller,1866531042,eastwest
USER11532,Vincenzo Pfannerstill,2883976979,bpi
USER30320,Alivia Metz,1310697721,mayabank
USER10646,Darrel Haley,986650025,robinsonsbank
USER10750,Stevie Wiegand,4052200640,robinsonsbank
USER06597,Delia Kuphal,1767181130,robinsonsbank
USER36494,Elfrieda Terry,3734380873,securitybank
USER61983,Lacey Rice,3198255334,eastwest
USER45406,Aubrey Bradtke,4114744822,mayabank
USER09391,Jalon Skiles,27976018,chinabank
USER14930,Hulda Gislason,2145652145,eastwest
USER41887,Desmond Veum,2158701336,chinabank
USER33065,Kenya Quigley,3219971598,robinsonsbank
USER41774,Ryann Berge,3457046834,bdo
USER25451,Brooks Schneider,2737902468,metrobank
USER58465,Zoey Ondricka,2318592753,mayabank
USER63900,Chaz Wisoky,2341081379,bdo
USER58620,Cortney Moen,1582307947,bpi
USER02067,Stewart Green,2903623293,bdo
USER25020,Petra Altenwerth,2573669093,chinabank
USER56995,Ward Wiegand,196589973,bpi
USER51762,Chyna Botsford,12431234,robinsonsbank
USER14758,Frederique Halvorson,2419707205,bdo
USER48585,Israel Grimes,1396222207,bpi
USER19055,Sonia Beatty,2138096708,chinabank
USER16887,Elvie Dickens,1898701909,eastwest
USER34920,Korey Swaniawski,3542757792,mayabank
USER61932,April Bartell,3848970486,bdo
USER32621,Lionel Heaney,1560732678,mayabank
USER51380,Colten Stamm,1157067732,metrobank
USER49169,Ron Klein,2998160192,metrobank
USER03168,Kurtis Mitchell,2848278235,mayabank
USER26076,Samanta Feest,419289858,robinsonsbank
USER16350,Terrell Hermann,910385317,mayabank
USER51709,Junius Jaskolski,119738388,securitybank
USER45836,Amani Zemlak,2270945132,eastwest
USER28527,Maryse Hodkiewicz,4200818829,securitybank
USER61243,Sylvia McCullough,2037241088,chinabank
USER47360,Halle Torp,1972630860,chinabank
USER20167,Melyna Bauch,2497031365,chinabank
USER26031,Maya Lindgren,402246929,metrobank
USER33828,Allan Lockman,3743584203,securitybank
USER28926,Amya Bechtelar,2076811229,eastwest
USER43872,Manuel Powlowski,3026350243,mayabank
USER02860,Lea Lemke,4033735252,bpi
USER50566,Mabelle King,1771798071,securitybank
USER30216,Loren Shanahan,2465746558,securitybank
USER05232,Bridgette Von,2004434153,bpi
USER61322,Ressie Parisian,3078814769,chinabank
USER03047,Hillary Lesch,64707159,metrobank
USER48643,Beverly Corwin,2654441049,securitybank
USER47728,Liana Deckow,4245775151,eastwest
USER19189,Kory Lowe,1910453697,robinsonsbank
USER34127,Lukas Franecki,3719082496,metrobank
USER33515,Jason Dooley,3617444928,metrobank
USER03275,Clay Kohler,3984351420,bpi
USER45248,Vernice Moore,57011292,bdo
USER24401,Dianna Graham,2841200429,bdo
USER05829,Anabelle Beatty,1987628631,robinsonsbank
USER07451,Billie Crona,2926189998,mayabank
USER29967,Darrion Harris,2139417810,metrobank
USER49269,Shawn Lockman,3379164091,robinsonsbank
USER41268,Devyn Kub,2521604457,bpi
USER05408,Thora Strosin,2207497654,metrobank
USER07165,Caesar West,3304874933,chinabank
USER03364,Rusty Armstrong,3546845909,eastwest
USER54523,Cortney Christiansen,2188632316,mayabank
USER60248,Kimberly West,1430753843,robinsonsbank
USER42644,Kayli Ullrich,2567534775,eastwest
USER38653,Dianna Block,73459818,robinsonsbank
USER20737,Gregorio Torphy,4183122764,securitybank
USER35171,Eloisa Thiel,3625270265,metrobank
USER06996,Hanna Jacobs,4175591240,robinsonsbank
USER41039,Laurence Predovic,390142378,chinabank
USER05018,Minnie Jacobi,2853654224,mayabank
USER19271,Elisha Steuber,4217573913,eastwest
USER46997,Flo Rempel,68803504,chinabank
USER53793,Ole DuBuque,2754779166,eastwest
USER59086,Alec Corkery,1327682758,metrobank
USER19439,Tanner Howe,3461535253,eastwest
USER26965,Raven Champlin,872885578,metrobank
USER02301,Orland Wolf,3356711114,mayabank
USER40568,Reginald Greenfelder,4208620946,bdo
USER39111,Bridget Nikolaus,1618649669,bpi
USER45277,Antonia Lind,1673195997,chinabank
USER23913,Jarret Kulas,3938452992,bdo
USER51258,Dusty Schoen,1542291426,bdo
USER05184,Jaylan Bauch,891536916,bpi
USER00829,Grace Cole,845340441,mayabank
USER50280,Skyla Beier,3775071680,metrobank
USER10757,Rafael Blick,1775143669,bpi
USER58158,Kacey Tillman,2226282829,securitybank
USER33362,Amira Pollich,4181061940,chinabank
USER11633,Darwin Sipes,3342192309,bpi
USER49550,Katlyn Kuphal,3848149854,chinabank
USER13941,Jessika Murazik,628209846,robinsonsbank
USER12584,Delmer Bosco,1501089778,robinsonsbank
USER61689,Cecil Koelpin,1698431105,metrobank
USER04485,Haskell Schuppe,3245810436,mayabank
USER23821,Hattie Ritchie,2130461147,bpi
USER19309,Adrienne Schroeder,653212598,securitybank
USER03534,Charlie Bins,2015885638,bpi
USER52297,Margaretta Reinger,2174164196,eastwest
USER44786,Ricky Thompson,1062598264,securitybank
USER46696,Alexandra Price,3779968487,chinabank
USER63580,Sheldon Hand,1844494688,chinabank
USER43036,Cydney Nicolas,3805213116,bpi
USER17036,Elenora Mueller,2190627868,robinsonsbank
USER43039,Riley Powlowski,775221636,mayabank
USER09228,Santiago Doyle,3483671757,chinabank
USER17290,Hadley Ernser,3006648139,eastwest
USER39842,Magnus Mohr,1418312271,mayabank
USER32478,Wilford Ebert,806270326,eastwest
USER48947,Vivian Cremin,3477553506,robinsonsbank
USER44909,Jorge Bogan,1969493573,eastwest
USER33477,Eldon Connelly,2484330014,robinsonsbank
USER32738,Shayna Breitenberg,184812182,metrobank
USER21963,Hudson Wintheiser,3519199583,bpi
USER24731,Chyna Stehr,2223162195,securitybank
USER63623,Olaf Volkman,1413153511,bpi
USER63139,Maryjane Zemlak,1410311199,bdo
USER19831,Jadyn Pacocha,1224055423,chinabank
USER14801,Dorthy Cassin,3066195058,eastwest
USER31223,Mortimer Bechtelar,1654528541,bdo
USER41739,Shane Volkman,942677668,metrobank
USER25902,Izaiah Krajcik,965657063,securitybank
USER39378,Cierra Swaniawski,1218529048,metrobank
USER10683,Pierce Glover,2616967442,eastwest
USER42786,Dax Hodkiewicz,1140142146,bdo
USER63360,Carol Champlin,2022075257,bdo
USER38998,Marcelino Medhurst,3050316536,mayabank
USER12404,Antonette Satterfield,1379314750,securitybank
USER06361,Aleen Kuvalis,2430848333,bdo
USER58891,Daryl Rolfson,3343506977,eastwest
USER02886,Esteban Dickinson,1132496198,eastwest
USER55652,Kayleigh Tillman,2873655347,bpi
USER06408,Colby Kuhic,4011127685,metrobank
USER09795,Lelia Mohr,522380049,eastwest
USER65400,Tremaine McDermott,4009685427,bdo
