user_id,creation_date,name,street,state,city,country,birthdate,gender,device_address,user_type
USER29028,2020-03-23 17:17:08,Cali Walker,581 Avenue bury,Wisconsin,Orlando,El Salvador,1994-10-02 22:53:53,female,18:f8:76:e3:6b:0c,basic
USER24767,2021-07-31 19:59:33,Pink Schmitt,49461 Mission furt,Texas,Phoenix,Faroe Islands,1996-04-30 02:51:05,male,70:a5:df:9c:de:a6,basic
USER48388,2022-04-25 08:33:03,Raina McLaughlin,5156 Place fort,Kentucky,Cincinnati,El Salvador,1972-09-01 19:14:32,male,25:8e:bc:a4:41:a0,premium
USER34332,2023-08-21 15:43:42,Keagan Feeney,6322 South Glen fort,Maine,Kansas ,Cook Islands,2016-12-02 07:12:30,female,eb:5c:c4:4d:b6:4a,basic
USER10122,2021-01-21 11:49:57,Dasia Swift,3773 Estates mouth,Maryland,San Jose,Malawi,2002-03-09 13:43:26,male,41:9f:ed:9d:bf:e6,verified
USER35636,2022-01-15 11:37:06,Viola Brown,4591 South Curve view,Massachusetts,Santa Ana,Ethiopia,2005-09-14 07:08:57,male,0f:d8:d9:db:1e:f5,basic
USER42930,2023-10-31 07:50:33,Arnaldo Harvey,248 New Glen town,Pennsylvania,Detroit,Holy See,1993-05-13 19:25:00,female,68:f0:69:c8:bc:a5,basic
USER25861,2022-09-29 17:28:48,Florence Windler,5640 East Island mouth,Delaware,Boston,Iran (Islamic Republic of),2014-12-06 11:34:12,female,09:94:ea:36:91:8a,basic
USER20048,2023-02-23 10:37:44,Carolyne Schneider,8386 East Fork burgh,Florida,Philadelphia,Christmas Island,2018-12-21 09:17:33,female,2c:db:13:33:59:a5,verified
USER59205,2023-06-02 11:46:25,Boris Hudson,3085 Lake Groves ton,Idaho,Bakersfield,Northern Mariana Islands,2002-11-19 06:44:35,male,03:58:5b:1b:88:07,basic
USER02067,2023-10-08 16:27:11,Stewart Green,4567 Fields berg,Michigan,Cincinnati,Svalbard and Jan Mayen,2013-10-11 15:10:56,female,2e:22:d1:b9:8a:14,basic
USER14758,2023-06-16 01:43:12,Frederique Halvorson,994 New Expressway land,North Dakota,Irving,Cambodia,2000-10-01 09:34:08,female,72:86:db:8a:0b:e6,basic
