staff_id,name,job_level,street,state,city,country,contact_number,creation_date
STAFF0009650,Randall Bergstrom,intermediate,376 Land chester,Texas,Omaha,Cook Islands,138-548-8481,2020-09-04 02:33:28
STAFF0039964,Christian Hessel,intermediate,945 West Camp shire,New Mexico,San Diego,Pakistan,393-164-5574,2020-08-08 06:50:47
STAFF0044932,Edgardo Fadel,entry,997 Expressway town,Rhode Island,Corpus Christi,Albania,328-133-8850,2020-02-10 16:49:18
STAFF0015819,Jordi Gleichner,entry,720 Centers burgh,Virginia,Bakersfield,Timor-Leste,649-258-8115,2021-06-11 11:30:29
STAFF0036616,Price Hintz,intermediate,1720 North Skyway burgh,Alabama,Scottsdale,"Palestine, State of",977-698-2305,2020-08-10 10:37:55
STAFF0002683,Garfield Legros,intermediate,596 Way town,Virginia,San Bernardino,Antarctica,349-297-8427,2023-05-18 11:23:46
STAFF0062193,Shanna Volkman,entry,2134 North Pines borough,New Hampshire,Tampa,Thailand,361-360-3486,2020-01-27 21:13:23
STAFF0053152,Dudley Goodwin,intermediate,54035 Manor ville,Iowa,Colorado Springs,Lesotho,261-510-3221,2020-08-08 21:11:06
STAFF0032350,Curt Thiel,entry,81114 Isle furt,New York,Anaheim,Gambia,280-756-6959,2021-11-24 11:11:42
STAFF0045925,Kiley Monahan,intermediate,2222 Land bury,South Dakota,Indianapolis,Mongolia,158-539-3751,2020-06-07 19:11:30
STAFF0029750,Coleman Haag,intermediate,26698 Row side,North Carolina,San Francisco,North Macedonia,539-167-5144,2023-03-13 22:57:04
STAFF0008683,Jaquan Metz,entry,38253 South Ridge mouth,Minnesota,Kansas,South Georgia and the South Sandwich Islands,966-169-6457,2021-07-24 13:58:05
STAFF0055862,Ewell Connelly,intermediate,942 North Drives ton,Indiana,Chula Vista,Morocco,588-833-5205,2020-03-07 23:51:17
STAFF0062657,Destin Turcotte,intermediate,48247 East Ramp ton,South Carolina,Aurora,Belgium,667-058-7609,2022-08-09 07:54:54
STAFF0061726,Tevin Weimann,entry,138 North Coves mouth,West Virginia,Scottsdale,Slovakia,711-027-1686,2020-08-09 05:44:25
STAFF0041366,Zackery Kris,intermediate,41501 Port Mill borough,Nebraska,Irvine,"Moldova, Republic of",799-978-6625,2021-06-27 10:22:51
STAFF0003965,Rick Marvin,entry,2099 Branch berg,California,Kansas,Viet Nam,355-094-1247,2023-05-29 19:51:20
STAFF0041759,Bert Cole,intermediate,3007 Lake Viaduct ville,Virginia,Long Beach,Portugal,225-690-7828,2022-02-27 12:53:15
STAFF0056603,Sedrick Walter,senior,8293 New Mall borough,Nevada,Toledo,American Samoa,853-223-6187,2022-05-17 08:02:26
STAFF0048480,Willa Dicki,entry,99372 East Dam chester,Minnesota,Scottsdale,Djibouti,272-201-5653,2020-12-06 18:07:33
STAFF0062223,Citlalli Runolfsson,intermediate,97572 Port Creek town,Wisconsin,Norfolk,Cabo Verde,583-771-1895,2021-11-03 03:35:41
STAFF0058581,Vernon Mann,senior,36123 New Court berg,Illinois,Denver,Norfolk Island,968-492-6461,2020-12-16 03:06:27
STAFF0046003,Mozell Weimann,entry,989 North Passage port,Indiana,Aurora,Macao,207-044-4724,2021-06-27 15:36:29
STAFF0014985,Jennings Johnston,senior,9319 North Lake bury,Missouri,Toledo,Nigeria,455-997-5770,2022-04-20 19:55:46
STAFF0060754,Sincere Mante,entry,6953 Isle port,North Dakota,San Diego,Turkmenistan,276-356-9146,2023-09-27 06:37:00
STAFF0049273,Krystal Grimes,entry,7430 Locks land,Vermont,St. Louis,Ukraine,801-412-4463,2021-02-11 15:59:12
STAFF0013636,Sadie Durgan,intermediate,4459 Canyon chester,North Dakota,Memphis,New Caledonia,385-841-8366,2022-10-18 15:51:04
STAFF0010209,Anabelle Nader,senior,51493 Cliff stad,New Hampshire,Omaha,Zimbabwe,317-630-3112,2020-10-29 06:24:14
STAFF0057913,Sammy Lesch,entry,7469 Terrace shire,Georgia,Oakland,Botswana,198-954-2271,2020-12-31 14:25:08
STAFF0054724,Leland Jakubowski,entry,1440 Corners stad,Ohio,Irvine,Grenada,832-215-3510,2023-04-25 05:33:02
STAFF0009537,Mazie Kris,entry,82783 West Track land,New Hampshire,Tampa,Romania,208-630-3154,2022-06-06 17:53:33
STAFF0040395,Brenden Effertz,entry,708 West Course land,Alabama,Riverside,Switzerland,158-307-9520,2023-09-11 17:38:16
STAFF0006039,Warren Lueilwitz,intermediate,3565 North Grove port,Iowa,Boston,Singapore,436-074-0684,2022-06-06 23:34:43
STAFF0026540,Reina Williamson,entry,193 Ford view,Idaho,Denver,Mozambique,630-937-4195,2022-06-23 08:45:46
STAFF0015800,Dayne Wolf,entry,8454 Drive shire,Montana,Chicago,R̩union,258-283-3815,2022-12-11 03:49:54
STAFF0036055,Lewis Bartell,senior,58641 Passage port,Arkansas,Pittsburgh,Seychelles,644-932-2748,2022-08-24 08:39:27
STAFF0052172,Trever Beier,entry,111 East Ford bury,Oregon,Minneapolis,Puerto Rico,569-479-3246,2021-07-09 03:48:33
STAFF0040360,Johnnie Schmeler,senior,881 South Turnpike burgh,Indiana,Tampa,Saint Kitts and Nevis,550-044-9004,2021-01-20 12:53:29
STAFF0065535,Sonny Baumbach,entry,52841 West Fords port,Washington,North Las Vegas,Rwanda,283-703-8693,2020-06-27 15:59:52
STAFF0015471,America Kihn,entry,76166 Crossing berg,Louisiana,Anaheim,American Samoa,882-055-6400,2020-08-09 02:08:23
STAFF0040970,Linnea Thompson,intermediate,450 West Station town,Maine,Phoenix,Kyrgyzstan,550-021-5865,2021-10-05 04:20:52
STAFF0009076,Savion Wehner,entry,6033 West Curve bury,North Dakota,Scottsdale,Papua New Guinea,511-610-4759,2022-03-16 00:53:43
STAFF0006764,Courtney Sporer,senior,47560 Unions mouth,Georgia,Toledo,Iran (Islamic Republic of),285-912-9328,2021-02-07 01:57:05
STAFF0051787,Ophelia Sipes,entry,76805 Lights berg,Nevada,Greensboro,Denmark,173-037-6487,2023-01-17 15:04:06
STAFF0026290,Jorge Stamm,entry,5808 Shoals land,Maine,Virginia Beach,Paraguay,615-681-2683,2021-10-24 14:42:28
STAFF0025155,Hayden Hodkiewicz,senior,28832 Summit stad,Texas,Louisville/Jefferson,Colombia,273-721-8233,2020-09-25 06:04:59
STAFF0017060,Lilly King,senior,4670 New Wells town,Connecticut,Lubbock,Greece,013-419-4183,2023-01-19 20:41:42
STAFF0010671,Deshawn Emmerich,senior,639 South Wall ville,Wyoming,Stockton,Tonga,214-802-8835,2023-02-19 22:06:49
